2023-11-18T11:31:13.519Z - Error: ENOENT: no such file or directory, stat 'C:\Users\SHREYASH\OneDrive\Desktop\Akshaya\Expenseapp\favicon.ico'
2023-11-18T11:36:10.434Z - Error: ENOENT: no such file or directory, stat 'C:\Users\SHREYASH\OneDrive\Desktop\Akshaya\Expenseapp\favicon.ico'
2023-11-18T11:36:17.775Z - Error: ENOENT: no such file or directory, stat 'C:\Users\SHREYASH\OneDrive\Desktop\Akshaya\Expenseapp\favicon.ico'
2023-11-18T11:36:39.576Z - Error: ENOENT: no such file or directory, stat 'C:\Users\SHREYASH\OneDrive\Desktop\Akshaya\Expenseapp\favicon.ico'
2023-11-18T11:38:07.878Z - Error: ENOENT: no such file or directory, stat 'C:\Users\SHREYASH\OneDrive\Desktop\Akshaya\Expenseapp\favicon.ico'
2023-11-18T11:38:09.248Z - Error: ENOENT: no such file or directory, stat 'C:\Users\SHREYASH\OneDrive\Desktop\Akshaya\Expenseapp\favicon.ico'
2023-11-18T11:38:10.039Z - Error: ENOENT: no such file or directory, stat 'C:\Users\SHREYASH\OneDrive\Desktop\Akshaya\Expenseapp\favicon.ico'
2023-11-18T11:38:10.248Z - Error: ENOENT: no such file or directory, stat 'C:\Users\SHREYASH\OneDrive\Desktop\Akshaya\Expenseapp\favicon.ico'
2023-11-18T11:38:11.763Z - Error: ENOENT: no such file or directory, stat 'C:\Users\SHREYASH\OneDrive\Desktop\Akshaya\Expenseapp\favicon.ico'
2023-11-18T11:38:18.768Z - Error: ENOENT: no such file or directory, stat 'C:\Users\SHREYASH\OneDrive\Desktop\Akshaya\Expenseapp\favicon.ico'
2023-11-18T11:38:26.444Z - Error: ENOENT: no such file or directory, stat 'C:\Users\SHREYASH\OneDrive\Desktop\Akshaya\Expenseapp\favicon.ico'
2023-11-18T11:38:26.483Z - Error: ENOENT: no such file or directory, stat 'C:\Users\SHREYASH\OneDrive\Desktop\Akshaya\Expenseapp\favicon.ico'
2023-11-18T11:38:54.568Z - Error: ENOENT: no such file or directory, stat 'C:\Users\SHREYASH\OneDrive\Desktop\Akshaya\Expenseapp\favicon.ico'
2023-11-18T11:40:03.637Z - Error: ENOENT: no such file or directory, stat 'C:\Users\SHREYASH\OneDrive\Desktop\Akshaya\Expenseapp\favicon.ico'
2023-11-18T11:40:29.031Z - Error: ENOENT: no such file or directory, stat 'C:\Users\SHREYASH\OneDrive\Desktop\Akshaya\Expenseapp\favicon.ico'
2023-11-18T11:40:29.080Z - Error: ENOENT: no such file or directory, stat 'C:\Users\SHREYASH\OneDrive\Desktop\Akshaya\Expenseapp\favicon.ico'
